"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","ID"
"133","Kingdom Hearts","PS2","2002","Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,85,46,"8.8",597,"SquareSoft","E",91
"135","Halo 3: ODST","X360","2009","Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,83,94,"7.1",1163,"Bungie Software, Bungie","M",92
"136","Red Dead Redemption","X360","2010","Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,95,96,"9",2316,"Rockstar San Diego","M",93
"137","Super Mario Sunshine","GC","2002","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,92,61,"8.6",439,"Nintendo","E",94
"139","World of Warcraft","PC","2004","Role-Playing","Activision",0.08,6.21,0,0,6.29,93,57,"7.3",2182,"Blizzard Entertainment","T",95
"140","Driver","PS","1999","Action","GT Interactive",3.11,2.8,0.02,0.33,6.27,87,22,"8.1",78,"Reflections Interactive","T",96
"141","Gears of War 3","X360","2011","Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,91,96,"7.8",1504,"Epic Games","M",97
"142","Kinect Sports","X360","2010","Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,73,51,"7.4",95,"Rare Ltd.","E10+",98
"143","Gears of War","X360","2006","Shooter","Microsoft Game Studios",3.54,1.88,0.07,0.6,6.09,94,88,"8.3",2295,"Epic Games","M",99
"144","FIFA 15","PS4","2014","Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,82,47,"5.7",988,"EA Sports","E",100
"145","Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05,96,42,"8.7",1026,"KCEJ","M",101
"147","Metal Gear Solid","PS","1998","Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03,94,20,"9.4",918,"KCEJ","M",102
"148","Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","Konami Digital Entertainment",2.63,1.71,0.83,0.82,5.99,94,82,"8.7",3558,"Kojima Productions","M",103
"149","Final Fantasy XII","PS2","2006","Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,92,64,"7.6",972,"Square Enix","T",104
"150","The Last of Us","PS3","2013","Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,95,98,"9.1",8003,"Naughty Dog","M",105
"151","LittleBigPlanet","PS3","2008","Platform","Sony Computer Entertainment",2.8,1.98,0.17,0.87,5.82,95,85,"6.8",5311,"SCE/WWS, Media Molecule","E",106
"152","Resident Evil 2","PS","1998","Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,89,13,"9.2",364,"Capcom","M",107
"153","Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,87,65,"8.8",197,"Level 5","E10+",108
"154","Tekken 2","PS","1996","Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,89,8,"8.9",102,"Namco","T",109
"155","Destiny","PS4","2014","Shooter","Activision",2.49,2.07,0.16,0.92,5.64,76,95,"6.1",5380,"Bungie Software, Bungie","T",110
"156","LEGO Star Wars: The Complete Saga","Wii","2007","Action","LucasArts",3.57,1.55,0,0.51,5.64,80,17,"8.9",62,"Traveller's Tales","E10+",111
"157","Cooking Mama","DS","2006","Simulation","505 Games",3.07,1.91,0.07,0.57,5.63,67,35,"7.2",21,"Taito Corporation","E",112
"160","Assassin's Creed II","PS3","2009","Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,91,70,"8.6",1202,"Ubisoft Montreal","M",113
"161","Assassin's Creed","X360","2007","Adventure","Ubisoft",3.28,1.64,0.07,0.56,5.54,81,77,"7.7",1074,"Ubisoft Montreal","M",114
"162","Forza Motorsport 3","X360","2009","Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,92,90,"8",516,"Turn 10","E",115
"163","Super Mario Advance","GBA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,84,19,"7.8",41,"Nintendo","E",116
"164","Monster Hunter Freedom Unite","PSP","2008","Role-Playing","Capcom",0.47,0.55,4.13,0.34,5.48,81,48,"8.7",124,"Capcom","T",117
"165","Batman: Arkham City","PS3","2011","Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,96,42,"8.6",2162,"Rocksteady Studios","T",118
"166","Grand Theft Auto V","XOne","2014","Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,97,14,"7.9",764,"Rockstar North","M",119
"167","Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,93,24,"8.3",108,"Intelligent Systems","E",120
"170","Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42,66,22,"7.1",156,"Traveller's Tales","E",121
"171","Call of Duty: World at War","PS3","2008","Shooter","Activision",2.73,1.83,0,0.83,5.39,85,45,"7.6",409,"Treyarch","M",122
"172","Uncharted 4: A Thief's End","PS4","2016","Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,93,113,"7.9",7064,"Naughty Dog","T",123
"174","Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix",1.74,1.21,1.87,0.51,5.33,83,83,"7.3",2483,"Square Enix","T",124
"176","Final Fantasy IX","PS","2000","Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3,94,22,"8.9",779,"SquareSoft","T",125
"177","Assassin's Creed III","X360","2012","Action","Ubisoft",3.13,1.69,0.03,0.44,5.29,84,61,"6.7",1196,"Ubisoft","M",126
"178","Final Fantasy X-2","PS2","2003","Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29,85,45,"6.6",400,"SquareSoft","T",127
"180","Call of Duty: Advanced Warfare","XOne","2014","Shooter","Activision",3.22,1.55,0.01,0.48,5.27,81,53,"5.4",898,"Sledgehammer Games","M",128
"182","Assassin's Creed II","X360","2009","Action","Ubisoft",3.11,1.55,0.08,0.51,5.26,90,82,"8.8",1305,"Ubisoft Montreal","M",129
"184","Madden NFL 2004","PS2","N/A","Sports","Electronic Arts",4.26,0.26,0.01,0.71,5.23,94,29,"8.5",140,"EA Tiburon","E",130
"186","New Super Mario Bros. U","WiiU","2012","Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,84,70,"8.1",733,"Nintendo","E",131
"187","Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","Square Enix",0.65,0.75,3.61,0.2,5.21,89,63,"8.8",245,"Level 5","T",132
"189","Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo",1.21,2.43,1.03,0.52,5.19,85,72,"8.6",147,"Level 5","E",133
"191","FIFA Soccer 13","X360","2012","Action","Electronic Arts",1.09,3.47,0.03,0.57,5.16,90,48,"6.1",403,"Electronic Arts","E",134
"193","Diablo III","PC","2012","Role-Playing","Activision",2.44,2.16,0,0.54,5.14,88,86,"4",9629,"Blizzard Entertainment","M",135
"194","Medal of Honor: Rising Sun","PS2","2003","Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13,68,30,"7.6",100,"EA LA","T",136
"197","Guitar Hero II","PS2","2006","Misc","RedOctane",3.81,0.63,0,0.68,5.12,92,69,"8.5",112,"Harmonix Music Systems","T",137
"198","Fable III","X360","2010","Role-Playing","Microsoft Game Studios",3.59,1.08,0.05,0.38,5.1,80,88,"6.5",604,"Lionhead Studios","M",138
"200","Resident Evil 5","PS3","2009","Action","Capcom",1.96,1.41,1.08,0.64,5.09,84,76,"7.5",667,"Capcom","M",139
"201","The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo",1.85,1.8,0.95,0.48,5.08,90,57,"8",416,"Nintendo","E",140
"203","FIFA Soccer 11","PS3","2010","Sports","Electronic Arts",0.61,3.28,0.06,1.12,5.07,89,51,"8",233,"EA Sports","E",141
"204","Resident Evil","PS","1996","Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05,91,8,"9",266,"Capcom","M",142
"205","Grand Theft Auto: Vice City Stories","PSP","2006","Action","Take-Two Interactive",1.7,1.99,0.16,1.18,5.03,86,50,"8",150,"Rockstar Leeds","M",143
"206","Tony Hawk's Pro Skater","PS","1999","Sports","Activision",3.42,1.38,0.02,0.2,5.02,92,18,"9.2",69,"Neversoft Entertainment","T",144
"209","Guitar Hero III: Legends of Rock","PS2","2007","Misc","Activision",3.49,0.01,0.01,1.48,4.98,82,24,"8.2",46,"Neversoft Entertainment, BudCat","T",145
"210","Link's Crossbow Training","Wii","2007","Shooter","Nintendo",3.05,1.17,0.29,0.46,4.98,68,34,"7.1",47,"Nintendo","T",146
"212","Fallout 3","X360","2008","Role-Playing","Bethesda Softworks",3.4,0.99,0.09,0.45,4.93,93,84,"8.5",1655,"Bethesda Game Studios","M",147
"213","Uncharted: Drake's Fortune","PS3","2007","Action","Sony Computer Entertainment",2.31,1.72,0.12,0.77,4.92,88,66,"8.1",2306,"Naughty Dog, SCE/WWS","T",148
"214","Madden NFL 06","PS2","2005","Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91,88,29,"8",121,"EA Sports","E",149
"219","StarCraft II: Wings of Liberty","PC","2010","Strategy","Activision",2.57,1.68,0,0.58,4.84,93,82,"8.2",3052,"Blizzard Entertainment","T",150
"220","Assassin's Creed","PS3","2007","Adventure","Ubisoft",1.91,2,0.09,0.82,4.82,81,40,"7.3",769,"Ubisoft Montreal","M",151
"221","God of War III","PS3","2010","Action","Sony Computer Entertainment",2.74,1.33,0.12,0.61,4.8,92,101,"8.7",2633,"SCE Santa Monica","M",152
"222","Crash Team Racing","PS","1999","Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79,88,20,"9",233,"Naughty Dog","E",153
"223","LEGO Star Wars: The Complete Saga","DS","2007","Action","LucasArts",2.83,1.48,0,0.45,4.76,80,9,"5.4",46,"TT Fusion","E",154
"224","Driver 2","PS","2000","Action","Atari",2.36,2.1,0.02,0.25,4.73,62,14,"7.7",92,"Reflections Interactive","T",155
"225","Batman: Arkham City","X360","2011","Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,0.42,4.73,94,87,"8.7",1472,"Rocksteady Studios","T",156
"228","Tony Hawk's Pro Skater 2","PS","2000","Sports","Activision",3.05,1.41,0.02,0.2,4.68,98,19,"7.7",299,"Neversoft Entertainment","T",157
"229","The Lord of the Rings: The Two Towers","PS2","2002","Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67,82,32,"8.2",78,"Stormfront Studios","T",158
"230","Tomb Raider","PS","1996","Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63,91,13,"8.6",147,"Core Design Ltd.","T",159
"231","Animal Crossing: City Folk","Wii","2008","Simulation","Nintendo",1.82,1.12,1.32,0.36,4.62,73,50,"7.6",119,"Nintendo","E",160
"232","Uncharted: The Nathan Drake Collection","PS4","2015","Action","Sony Computer Entertainment",2.07,1.71,0.08,0.76,4.62,86,78,"8.1",1264,"Bluepoint Games","T",161
"234","The Legend of Zelda: The Wind Waker","GC","2002","Action","Nintendo",2.6,0.99,0.89,0.13,4.6,96,80,"8.9",968,"Nintendo","E",162
"235","Guitar Hero III: Legends of Rock","Wii","2007","Misc","Activision",3.04,1.11,0,0.43,4.6,86,36,"8.4",87,"Vicarious Visions","T",163
"236","Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",1.8,1.39,1.11,0.29,4.59,86,74,"8.4",458,"Next Level Games","E",164
"237","Forza Motorsport 4","X360","2011","Racing","Microsoft Game Studios",2.08,1.97,0.06,0.46,4.57,91,83,"8.2",617,"Turn 10","E",165
"239","Madden NFL 2005","PS2","2004","Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53,91,30,"7.9",78,"EA Tiburon","E",166
"240","Guitar Hero III: Legends of Rock","X360","2007","Misc","Activision",3.19,0.91,0.01,0.42,4.53,85,69,"7.9",165,"Neversoft Entertainment","T",167
"242","Madden NFL 07","PS2","2006","Sports","Electronic Arts",3.63,0.24,0.01,0.61,4.49,84,29,"8.2",39,"EA Sports","E",168
"243","Halo 5: Guardians","XOne","2015","Shooter","Microsoft Game Studios",2.78,1.27,0.03,0.41,4.48,84,101,"6.4",2438,"343 Industries","T",169
"244","Spider-Man: The Movie","PS2","2002","Action","Activision",2.71,1.51,0.03,0.23,4.48,76,25,"7.9",41,"Treyarch","E",170
"246","Call of Duty: Infinite Warfare","PS4","2016","Shooter","Activision",1.61,2,0.15,0.71,4.46,77,82,"3.4",1129,"Infinity Ward","M",171
"247","God of War","PS2","2005","Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45,94,75,"8.9",997,"SCE Santa Monica","M",172
"248","Splatoon","WiiU","2015","Shooter","Nintendo",1.54,1.18,1.46,0.26,4.43,81,88,"8.5",1184,"Nintendo","E10+",173
"249","Nintendo Land","WiiU","2012","Misc","Nintendo",2.52,1.11,0.46,0.33,4.42,77,61,"7.9",471,"Nintendo","E10+",174
"250","Tony Hawk's Pro Skater 3","PS2","2001","Sports","Activision",2.66,1.29,0.01,0.46,4.41,97,34,"7.5",298,"Neversoft Entertainment","T",175
"251","Winning Eleven: Pro Evolution Soccer 2007","PS2","2006","Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39,86,19,"8.9",33,"Konami","E",176
"252","The Elder Scrolls IV: Oblivion","X360","2006","Role-Playing","Take-Two Interactive",2.82,1.03,0.13,0.4,4.38,94,90,"8.7",1109,"Bethesda Softworks","M",177
"254","Need for Speed: Most Wanted","PS2","2005","Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37,82,36,"9.1",137,"EA Canada","T",178
"255","Michael Jackson: The Experience","Wii","2010","Misc","Ubisoft",2.64,1.33,0.01,0.39,4.36,56,37,"8.3",31,"Ubisoft Paris, Ubisoft Montpellier","E10+",179
"257","Resistance: Fall of Man","PS3","2006","Shooter","Sony Computer Entertainment",1.74,1.72,0.14,0.75,4.34,86,70,"8.1",715,"Insomniac Games","M",180
"259","Kingdom Hearts II","PS2","2005","Role-Playing","Square Enix",2.2,0.58,1.38,0.17,4.33,87,64,"9",766,"Square Enix","E10+",181
"261","Super Mario 3D World","WiiU","2013","Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,93,83,"9",1607,"Nintendo","E",182
"266","Fable II","X360","2008","Role-Playing","Microsoft Game Studios",2.51,1.24,0.11,0.41,4.27,89,95,"6.5",2423,"Lionhead Studios","M",183
"267","Namco Museum","GBA","2001","Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24,79,10,"7.3",6,"Mass Media","E",184
"268","Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive",2.24,1.31,0.07,0.61,4.23,91,70,"8.9",1122,"Rocksteady Studios","T",185
"269","Metal Gear Solid 3: Snake Eater","PS2","2004","Action","Konami Digital Entertainment",1.46,0,0.83,1.93,4.23,91,68,"9.3",955,"KCEJ","M",186
"270","Assassin's Creed: Revelations","PS3","2011","Action","Ubisoft",1.41,2.01,0.1,0.7,4.22,80,39,"7.5",613,"Ubisoft Montreal","M",187
"271","Fallout 4","XOne","2015","Role-Playing","Bethesda Softworks",2.51,1.32,0.01,0.38,4.22,88,39,"6.2",1749,"Bethesda Game Studios","M",188
"272","FIFA 14","X360","2013","Sports","Electronic Arts",0.92,2.89,0.01,0.4,4.22,84,41,"4.2",435,"EA Canada","E",189
"273","Daxter","PSP","2006","Platform","Sony Computer Entertainment",2.45,1.01,0,0.75,4.21,85,59,"8.7",109,"Ready at Dawn","E10+",190
